ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1441141870.27999,public,supplier,supplier_s_suppkey_idx_like,0,0,0,4,9
1441141870.27999,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,2745,9
1441141870.27999,public,supplier,pk_supplier,42,42,42,2750,130
1441141870.27999,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,2979,2276,2276,7,6586
1441141870.27999,pg_catalog,pg_type,pg_type_typname_nsp_index,111,69,69,7,292
1441141870.27999,pg_catalog,pg_type,pg_type_oid_index,10532,10509,10509,4,11168
1441141870.27999,public,part,part_p_type_p_partkey_idx,0,0,0,115192,7
1441141870.27999,public,part,part_p_name_idx,0,0,0,136022,7
1441141870.27999,public,part,part_p_size_idx,0,0,0,54840,7
1441141870.27999,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,121426,7
1441141870.27999,public,part,pk_part,26,26,26,54845,80
1441141870.27999,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2618,pg_toast_2618_index,529,1692,1692,4,844
1441141870.27999,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2619,pg_toast_2619_index,299,5361,5361,8,4421
1441141870.27999,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1441141870.27999,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1441141870.27999,pg_catalog,pg_authid,pg_authid_oid_index,620,620,620,2,1238
1441141870.27999,pg_catalog,pg_authid,pg_authid_rolname_index,620,620,620,2,1238
1441141870.27999,public,partsupp,partsupp_ps_suppkey_idx,26,26,26,219362,101
1441141870.27999,public,partsupp,pk_partsupp,16,16,16,219362,61
1441141870.27999,public,customer,customer_c_phone_idx,0,0,0,57760,7
1441141870.27999,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,57760,7
1441141870.27999,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,37392,7
1441141870.27999,public,customer,pk_customer,28,28,28,41136,86
1441141870.27999,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,41131,7
1441141870.27999,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,411289,11
1441141870.27999,public,orders,pk_orders,30,30,30,411296,124
1441141870.27999,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,411289,11
1441141870.27999,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,405989,16
1441141870.27999,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,197163,16
1441141870.27999,public,lineitem,pk_lineitem,38,38,38,1645251,161
1441141870.27999,public,lineitem,lineitem_l_orderkey_idx_part1,0,0,0,1040159,16
